STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; STUNDENSUMME_SONNENSCHEIN;eor
  2667;2014111812;  10;  37;  0.00;eor
  2667;2014111813;  10;  37;  0.00;eor
  2667;2014111814;  10;  37;  0.00;eor
  2667;2014111815;  10;  37;  0.00;eor
  2667;2014111816;  10;  37;  0.00;eor
  2667;2014111817;  10;  37;  0.00;eor
  2667;2014111818;  10;  37;  0.00;eor
  2667;2014111819;  10;  37;  0.00;eor
  2667;2014111820;  10;  37;  0.00;eor
  2667;2014111903;  10;  37;  0.00;eor
  2667;2014111904;  10;  37;  0.00;eor
  2667;2014111905;  10;  37;  0.00;eor
  2667;2014111906;  10;  37;  0.00;eor
  2667;2014111907;  10;  37;  0.00;eor
  2667;2014111908;  10;  37;  0.00;eor
  2667;2014111909;  10;  37;  0.00;eor
  2667;2014111910;  10;  37;  0.00;eor
  2667;2014111911;  10;  37;  0.00;eor
  2667;2014111912;  10;  37;  0.00;eor
  2667;2014111913;  10;  37;  0.00;eor
  2667;2014111914;  10;  37;  0.00;eor
  2667;2014111915;  10;  37;  0.00;eor
  2667;2014111916;  10;  37;  0.00;eor
  2667;2014111917;  10;  37;  0.00;eor
  2667;2014111918;  10;  37;  0.00;eor
  2667;2014111919;  10;  37;  0.00;eor
  2667;2014111920;  10;  37;  0.00;eor
  2667;2014112003;  10;  37;  0.00;eor
  2667;2014112004;  10;  37;  0.00;eor
  2667;2014112005;  10;  37;  0.00;eor
  2667;2014112006;  10;  37;  0.00;eor
  2667;2014112007;  10;  37;  0.00;eor
  2667;2014112008;  10;  37;  0.00;eor
  2667;2014112009;  10;  37;  0.00;eor
  2667;2014112010;  10;  37;  0.00;eor
  2667;2014112011;  10;  37;  0.00;eor
  2667;2014112012;  10;  37;  9.00;eor
  2667;2014112013;  10;  37;  0.00;eor
  2667;2014112014;  10;  37;  0.00;eor
  2667;2014112015;  10;  37;  0.00;eor
  2667;2014112016;  10;  37;  0.00;eor
  2667;2014112017;  10;  37;  0.00;eor
  2667;2014112018;  10;  37;  0.00;eor
  2667;2014112019;  10;  37;  0.00;eor
  2667;2014112020;  10;  37;  0.00;eor
  2667;2014112103;  10;  37;  0.00;eor
  2667;2014112104;  10;  37;  0.00;eor
  2667;2014112105;  10;  37;  0.00;eor
  2667;2014112106;  10;  37;  0.00;eor
  2667;2014112107;  10;  37;  0.00;eor
  2667;2014112108;  10;  37;  2.00;eor
  2667;2014112109;  10;  37; 60.00;eor
  2667;2014112110;  10;  37; 60.00;eor
  2667;2014112111;  10;  37; 60.00;eor
  2667;2014112112;  10;  37; 60.00;eor
  2667;2014112113;  10;  37; 60.00;eor
  2667;2014112114;  10;  37; 60.00;eor
  2667;2014112115;  10;  37; 60.00;eor
  2667;2014112116;  10;  37; 11.00;eor
  2667;2014112117;  10;  37;  0.00;eor
  2667;2014112118;  10;  37;  0.00;eor
  2667;2014112119;  10;  37;  0.00;eor
  2667;2014112120;  10;  37;  0.00;eor
  2667;2014112203;  10;  37;  0.00;eor
  2667;2014112204;  10;  37;  0.00;eor
  2667;2014112205;  10;  37;  0.00;eor
  2667;2014112206;  10;  37;  0.00;eor
  2667;2014112207;  10;  37;  0.00;eor
  2667;2014112208;  10;  37;  0.00;eor
  2667;2014112209;  10;  37; 53.00;eor
  2667;2014112210;  10;  37; 32.00;eor
  2667;2014112211;  10;  37; 14.00;eor
  2667;2014112212;  10;  37; 43.00;eor
  2667;2014112213;  10;  37; 37.00;eor
  2667;2014112214;  10;  37; 60.00;eor
  2667;2014112215;  10;  37; 59.00;eor
  2667;2014112216;  10;  37;  0.00;eor
  2667;2014112217;  10;  37;  0.00;eor
  2667;2014112218;  10;  37;  0.00;eor
  2667;2014112219;  10;  37;  0.00;eor
  2667;2014112220;  10;  37;  0.00;eor
  2667;2014112303;  10;  37;  0.00;eor
  2667;2014112304;  10;  37;  0.00;eor
  2667;2014112305;  10;  37;  0.00;eor
  2667;2014112306;  10;  37;  0.00;eor
  2667;2014112307;  10;  37;  0.00;eor
  2667;2014112308;  10;  37;  1.00;eor
  2667;2014112309;  10;  37; 60.00;eor
  2667;2014112310;  10;  37; 60.00;eor
  2667;2014112311;  10;  37; 60.00;eor
  2667;2014112312;  10;  37; 60.00;eor
  2667;2014112313;  10;  37; 60.00;eor
  2667;2014112314;  10;  37; 60.00;eor
  2667;2014112315;  10;  37; 41.00;eor
  2667;2014112316;  10;  37;  0.00;eor
  2667;2014112317;  10;  37;  0.00;eor
  2667;2014112318;  10;  37;  0.00;eor
  2667;2014112319;  10;  37;  0.00;eor
  2667;2014112320;  10;  37;  0.00;eor
  2667;2014112403;  10;  37;  0.00;eor
  2667;2014112404;  10;  37;  0.00;eor
  2667;2014112405;  10;  37;  0.00;eor
  2667;2014112406;  10;  37;  0.00;eor
  2667;2014112407;  10;  37;  0.00;eor
  2667;2014112408;  10;  37;  0.00;eor
  2667;2014112409;  10;  37;  0.00;eor
  2667;2014112410;  10;  37;  7.00;eor
  2667;2014112411;  10;  37; 38.00;eor
  2667;2014112412;  10;  37; 29.00;eor
  2667;2014112413;  10;  37; 42.00;eor
  2667;2014112414;  10;  37; 36.00;eor
  2667;2014112415;  10;  37; 51.00;eor
  2667;2014112416;  10;  37;  0.00;eor
  2667;2014112417;  10;  37;  0.00;eor
